Date,half,Team,Opponent,timeRemaining,playerID,makeMiss,xint,yint,distance,x,y
1/6/2018,1,Penn,Princeton,1940,21,0,4,4,5.7,4.114585238,4.414236197
1/6/2018,1,Penn,Princeton,1935,0,0,4,2,4.5,4.167712083,2.024697987
1/6/2018,1,Princeton,Penn,1910,33,0,-8,22,23.4,-7.906535659,22.3426429
1/6/2018,1,Penn,Princeton,1949,4,0,0,9,9,-0.250001474,8.630270638
1/6/2018,1,Princeton,Penn,1840,5,0,-15,16,21.9,-14.8821942,15.76112269
1/6/2018,1,Penn,Princeton,1808,2,0,3,24,24.2,3.085789685,23.86876751
1/6/2018,1,Princeton,Penn,1738,22,0,15,17,22.7,14.62420508,17.21102766
1/6/2018,1,Penn,Princeton,1718,2,2,5,5,7.1,4.964096347,4.630369923
1/6/2018,1,Princeton,Penn,1708,33,1,21,7,22.1,20.51743972,6.708171026
1/6/2018,1,Penn,Princeton,1650,25,0,-4,0,4,-3.857505424,0.017467976
1/6/2018,1,Princeton,Penn,1643,12,1,-2,2,2.8,-2.41498188,2.233949648
1/6/2018,1,Princeton,Penn,1609,5,0,-3,3,4.2,-2.719089394,3.435589892
1/6/2018,1,Penn,Princeton,1604,21,1,-4,0,4,-4.152316678,-0.406026123
1/6/2018,1,Princeton,Penn,1547,12,0,4,1,4.1,3.505444785,0.716197501
1/6/2018,1,Penn,Princeton,1533,4,1,-22,5,22.6,-22.03458667,4.946197746
1/6/2018,1,Princeton,Penn,1505,33,1,3,1,3.2,2.949255068,1.190085575
1/6/2018,1,Penn,Princeton,1446,21,1,-2,23,23.1,-2.476496399,23.30781938
1/6/2018,1,Princeton,Penn,1428,3,0,-18,15,23.4,-18.01674145,14.53168931
1/6/2018,1,Princeton,Penn,1345,34,0,0,4,4,-0.007173899,3.880683761
1/6/2018,1,Penn,Princeton,1322,4,1,-4,2,4.5,-3.763002677,1.743435907
1/6/2018,1,Princeton,Penn,1216,15,2,3,2,3.6,3.034540331,1.567216424
1/6/2018,1,Penn,Princeton,1158,25,0,19,10,21.5,18.93761906,9.590372716
1/6/2018,1,Princeton,Penn,1150,3,1,4,0,4,4.322211286,-0.2608175
1/6/2018,1,Penn,Princeton,1131,21,1,0,6,6,-0.233489022,6.274829485
1/6/2018,1,Penn,Princeton,1103,25,1,-3,1,3.2,-2.920808268,1.369026695
1/6/2018,1,Princeton,Penn,1040,3,0,-1,14,14,-1.3246876,13.99356558
1/6/2018,1,Penn,Princeton,1008,21,1,-2,8,8.2,-2.438659705,7.796654491
1/6/2018,1,Princeton,Penn,947,5,0,-22,1,22,-21.6705477,0.787847082
1/6/2018,1,Penn,Princeton,938,12,1,-21,10,23.3,-21.26474999,9.663526438
1/6/2018,1,Princeton,Penn,926,12,0,14,20,24.4,14.17110628,20.4298088
1/6/2018,1,Penn,Princeton,915,4,0,1,22,22,0.869914602,21.79414028
1/6/2018,1,Princeton,Penn,907,5,1,2,0,2,1.846287263,0.174373474
1/6/2018,1,Penn,Princeton,834,0,0,-6,2,6.3,-5.677548488,1.609102045
1/6/2018,1,Princeton,Penn,821,12,0,-4,2,4.5,-4.447424288,1.760271575
1/6/2018,1,Penn,Princeton,753,12,0,-3,7,7.6,-3.253875617,6.637267663
1/6/2018,1,Princeton,Penn,730,22,0,-3,4,5,-3.268496602,4.141896898
1/6/2018,1,Penn,Princeton,720,21,0,-3,0,3,-2.861126652,0.066974751
1/6/2018,1,Penn,Princeton,650,2,1,1,6,6.1,1.348116842,6.206879598
1/6/2018,1,Princeton,Penn,622,3,1,22,1,22,22.21477175,0.696139698
1/6/2018,1,Penn,Princeton,600,25,0,22,4,22.4,22.12643935,4.410231029
1/6/2018,1,Princeton,Penn,542,3,1,5,12,13,5.057450466,12.23437821
1/6/2018,1,Penn,Princeton,523,2,1,-16,17,23.3,-15.82312146,16.50867806
1/6/2018,1,Princeton,Penn,447,15,0,23,3,23.2,23.43569946,3.491620602
1/6/2018,1,Penn,Princeton,421,21,1,2,2,2.8,1.666749612,2.36033226
1/6/2018,1,Princeton,Penn,401,5,0,6,3,6.7,5.690789126,2.789921717
1/6/2018,1,Penn,Princeton,353,21,1,18,12,21.6,18.30348857,11.76175373
