Date,half,Team,Opponent,timeRemaining,playerID,makeMiss,xint,yint,distance,x,y
1/9/2016,2,Dartmouth,Harvard,447,12,2,-6,2,6.3,-6.156711754,2.492644565
1/9/2016,2,Dartmouth,Harvard,411,12,0,-2,1,2.2,-1.891457937,1.194243324
1/9/2016,2,Dartmouth,Harvard,354,3,0,-4,2,4.5,-4.408811276,2.191974027
1/9/2016,2,Dartmouth,Harvard,350,15,1,-8,1,8.1,-7.642468279,0.891752015
1/9/2016,2,Dartmouth,Harvard,322,15,0,2,22,22.1,1.93582497,21.55964179
1/9/2016,2,Dartmouth,Harvard,251,12,0,15,16,21.9,14.9023742,16.16201801
1/9/2016,2,Dartmouth,Harvard,207,12,2,-2,4,4.5,-2.025032115,3.785424148
1/9/2016,2,Dartmouth,Harvard,159,22,2,-6,3,6.7,-5.880159354,2.585188499
1/9/2016,2,Dartmouth,Harvard,122,22,1,-22,4,22.4,-22.07034543,4.441866842
1/9/2016,2,Dartmouth,Harvard,43,12,1,8,21,22.5,7.542622271,21.49662662
1/9/2016,2,Dartmouth,Harvard,23,15,0,-3,5,5.8,-2.539360492,4.937251224
1/9/2016,2,Dartmouth,Harvard,18,3,0,-22,2,22.1,-21.64802522,2.227044875
1/9/2016,2,Dartmouth,Harvard,12,22,0,-18,14,22.8,-17.72790366,13.8787288
1/9/2016,1,Harvard,Dartmouth,1932,35,1,10,15,18,9.511909031,14.81035062
1/9/2016,1,Harvard,Dartmouth,1857,4,2,-2,0,2,-2.189615977,0.244357357
1/9/2016,1,Harvard,Dartmouth,1759,35,1,-2,4,4.5,-1.800186391,4.104086375
1/9/2016,1,Harvard,Dartmouth,1731,4,0,-3,1,3.2,-2.64640603,0.579553935
1/9/2016,1,Harvard,Dartmouth,1725,3,0,3,15,15.3,2.866826012,15.1644353
1/9/2016,1,Harvard,Dartmouth,1658,33,1,-2,0,2,-2.387889215,-0.179869553
1/9/2016,1,Harvard,Dartmouth,1545,4,0,6,2,6.3,6.098215774,1.856195453
1/9/2016,1,Harvard,Dartmouth,1507,33,1,1,1,1.4,0.860184611,0.828425393
1/9/2016,1,Harvard,Dartmouth,1420,10,0,-8,7,10.6,-7.801951185,7.22068513
1/9/2016,1,Harvard,Dartmouth,1418,10,1,-3,1,3.2,-2.544442969,0.952784458
1/9/2016,1,Harvard,Dartmouth,1343,10,1,22,1,22,21.92301053,0.615010885
1/9/2016,1,Harvard,Dartmouth,1225,33,1,0,0,0,-0.211967829,-0.423707439
1/9/2016,1,Harvard,Dartmouth,1215,10,0,4,1,4.1,3.751209375,0.63994321
1/9/2016,1,Harvard,Dartmouth,1134,10,0,-4,5,6.4,-3.963709493,4.786793653
1/9/2016,1,Harvard,Dartmouth,1053,23,1,2,0,2,1.503660958,-0.015134072
1/9/2016,1,Harvard,Dartmouth,1020,23,0,3,0,3,2.553027282,0.152986451
1/9/2016,1,Harvard,Dartmouth,938,35,2,2,4,4.5,1.623079867,3.511530613
1/9/2016,1,Harvard,Dartmouth,842,4,2,-3,4,5,-2.756770677,3.831862298
1/9/2016,1,Harvard,Dartmouth,815,3,0,-5,2,5.4,-5.431455242,2.018753931
1/9/2016,1,Harvard,Dartmouth,809,35,0,2,0,2,2.335707711,0.476874592
1/9/2016,1,Harvard,Dartmouth,720,15,0,18,16,24.1,18.20575561,16.39587666
1/9/2016,1,Harvard,Dartmouth,642,4,2,-4,1,4.1,-3.949474192,0.978524462
1/9/2016,1,Harvard,Dartmouth,607,4,0,4,3,5,3.84904225,3.331239978
1/9/2016,1,Harvard,Dartmouth,605,33,0,-2,1,2.2,-1.52930833,0.974700452
1/9/2016,1,Harvard,Dartmouth,458,10,0,1,5,5.1,1.4501756,4.829102521
1/9/2016,1,Harvard,Dartmouth,416,10,1,1,22,22,1.302715213,21.9559803
1/9/2016,1,Harvard,Dartmouth,342,35,1,1,4,4.1,1.245709196,4.013926502
1/9/2016,1,Harvard,Dartmouth,256,15,0,18,13,22.2,18.04837574,12.51879448
1/9/2016,1,Harvard,Dartmouth,220,10,1,3,0,3,2.780892595,0.396735644
1/9/2016,1,Harvard,Dartmouth,110,10,1,-17,13,21.4,-17.37158753,13.38104868
1/9/2016,1,Harvard,Dartmouth,37,35,1,1,1,1.4,1.241199574,1.436212321
1/9/2016,1,Harvard,Dartmouth,0,25,1,-15,24,28.3,-14.90051049,24.45328564
1/9/2016,2,Harvard,Dartmouth,1910,4,1,4,0,4,3.841048303,0.014238226
1/9/2016,2,Harvard,Dartmouth,1832,33,1,0,0,0,-0.378980065,0.26272056
1/9/2016,2,Harvard,Dartmouth,1749,4,0,4,1,4.1,3.95363365,1.144254526
1/9/2016,2,Harvard,Dartmouth,1714,3,1,-3,1,3.2,-2.62386318,0.976410011
1/9/2016,2,Harvard,Dartmouth,1643,33,0,4,3,5,4.074362217,2.620141415
1/9/2016,2,Harvard,Dartmouth,1642,33,0,-1,2,2.2,-0.968796351,1.927840162
1/9/2016,2,Harvard,Dartmouth,1610,10,1,0,22,22,0.206801399,21.51600365
1/9/2016,2,Harvard,Dartmouth,1501,25,0,0,22,22,0.423072488,21.85211892
1/9/2016,2,Harvard,Dartmouth,1501,10,0,-1,2,2.2,-1.328510563,1.704910025
1/9/2016,2,Harvard,Dartmouth,1401,25,2,-4,1,4.1,-3.908068795,0.604612626
1/9/2016,2,Harvard,Dartmouth,1322,35,2,2,3,3.6,2.154166522,2.597210861
1/9/2016,2,Harvard,Dartmouth,1127,35,1,-12,3,12.4,-11.61922718,2.70838612
1/9/2016,2,Harvard,Dartmouth,1045,3,0,10,20,22.4,10.10689643,20.11785615
1/9/2016,2,Harvard,Dartmouth,1014,10,0,2,22,22.1,2.490657832,22.33872173
1/9/2016,2,Harvard,Dartmouth,930,35,0,-4,11,11.7,-3.615281224,11.40153349
1/9/2016,2,Harvard,Dartmouth,913,13,1,19,6,19.9,18.66942991,6.154304492
1/9/2016,2,Harvard,Dartmouth,845,4,1,-4,4,5.7,-4.126936891,4.080506562
1/9/2016,2,Harvard,Dartmouth,802,33,0,-1,0,1,-1.085507182,0.038648395
1/9/2016,2,Harvard,Dartmouth,757,4,1,-4,3,5,-3.730732581,3.483944428
1/9/2016,2,Harvard,Dartmouth,708,33,1,0,0,0,-0.220916523,-0.316664513
1/9/2016,2,Harvard,Dartmouth,622,4,0,7,2,7.3,7.179876288,1.575692802
1/9/2016,2,Harvard,Dartmouth,600,25,0,-16,15,21.9,-15.77557775,14.86417943
1/9/2016,2,Harvard,Dartmouth,512,35,1,5,3,5.8,4.53829592,2.798937654
1/9/2016,2,Harvard,Dartmouth,432,35,1,-1,1,1.4,-1.041249323,0.648654728
1/9/2016,2,Harvard,Dartmouth,339,10,2,7,0,7,7.406315899,-0.218237989
1/9/2016,2,Harvard,Dartmouth,306,10,1,2,0,2,1.698218809,0.436185218
1/9/2016,2,Harvard,Dartmouth,227,10,2,4,2,4.5,4.137394242,2.103346258
1/9/2016,2,Harvard,Dartmouth,214,35,1,-1,2,2.2,-1.326914075,1.96523215
1/9/2016,2,Harvard,Dartmouth,120,15,0,19,10,21.5,18.95850416,9.613512452
1/9/2016,2,Harvard,Dartmouth,50,35,1,-22,3,22.2,-22.34137655,2.648340849
1/9/2016,1,Penn,Princeton,1952,10,1,2,1,2.2,2.01269637,0.929690411
1/9/2016,1,Penn,Princeton,1917,24,1,-3,0,3,-2.841544189,0.045609626
1/9/2016,1,Penn,Princeton,1808,5,1,18,12,21.6,17.64784798,11.74458017
1/9/2016,1,Penn,Princeton,1710,1,0,-3,1,3.2,-2.950761023,0.846650775
1/9/2016,1,Penn,Princeton,1632,5,1,5,24,24.5,5.135992662,23.69490757
1/9/2016,1,Penn,Princeton,1540,40,0,-3,1,3.2,-2.984225349,0.813332323
1/9/2016,1,Penn,Princeton,1530,1,2,2,2,2.8,2.235547888,2.385931469
1/9/2016,1,Penn,Princeton,1410,10,1,2,8,8.2,2.309084928,8.348346726
1/9/2016,1,Penn,Princeton,1334,10,1,-5,3,5.8,-4.540856213,2.724598499
1/9/2016,1,Penn,Princeton,1302,4,1,2,0,2,1.596118963,0.457740268
1/9/2016,1,Penn,Princeton,1252,14,0,17,16,23.3,16.9399676,15.77511437
1/9/2016,1,Penn,Princeton,1218,4,0,4,1,4.1,3.699146654,0.762041074
1/9/2016,1,Penn,Princeton,1136,5,0,-13,20,23.9,-12.81726872,20.19984516
1/9/2016,1,Penn,Princeton,1049,25,0,1,1,1.4,1.492903719,0.776349032
1/9/2016,1,Penn,Princeton,1031,10,1,1,21,21,1.446426565,21.10945829
1/9/2016,1,Penn,Princeton,955,24,1,-12,18,21.6,-11.54290736,18.23873784
1/9/2016,1,Penn,Princeton,759,5,1,-2,1,2.2,-1.57079966,1.309839723
1/9/2016,1,Penn,Princeton,712,4,0,22,0,22,22.44939767,0.180672398
1/9/2016,1,Penn,Princeton,636,10,0,4,1,4.1,4.446249798,0.679534389
1/9/2016,1,Penn,Princeton,559,1,0,18,14,22.8,17.80697989,14.3175985
1/9/2016,1,Penn,Princeton,506,1,0,-2,0,2,-2.373602816,-0.117290499
1/9/2016,1,Penn,Princeton,425,14,0,16,3,16.3,15.94937394,3.264217483
1/9/2016,1,Penn,Princeton,240,10,0,3,1,3.2,2.976756756,0.912431026
1/9/2016,1,Penn,Princeton,208,40,0,-22,5,22.6,-22.02360472,5.033523176
1/9/2016,1,Penn,Princeton,155,5,0,21,13,24.7,20.66183466,12.68631013
1/9/2016,1,Penn,Princeton,136,1,1,-2,4,4.5,-1.848578919,3.923862748
1/9/2016,1,Penn,Princeton,111,1,1,-3,1,3.2,-3.42542271,1.269026274
1/9/2016,1,Penn,Princeton,37,24,0,-19,12,22.5,-18.90664895,11.69583495
1/9/2016,2,Penn,Princeton,1923,1,0,4,0,4,3.981890035,-0.036028869
1/9/2016,2,Penn,Princeton,1907,5,0,3,0,3,3.025732432,0.016272899
1/9/2016,2,Penn,Princeton,1837,10,0,-2,6,6.3,-1.959227432,5.977993982
1/9/2016,2,Penn,Princeton,1835,24,1,-1,0,1,-1.339213537,0.204127258
1/9/2016,2,Penn,Princeton,1759,10,1,-6,3,6.7,-5.702535744,3.180055052
1/9/2016,2,Penn,Princeton,1737,10,0,-4,0,4,-3.735759481,-0.434395613
1/9/2016,2,Penn,Princeton,1635,14,0,-22,2,22.1,-21.73213045,2.345017169
1/9/2016,2,Penn,Princeton,1633,10,0,-9,0,9,-9.00977004,0.137350287
1/9/2016,2,Penn,Princeton,1555,3,1,2,5,5.4,1.891405624,4.61674298
1/9/2016,2,Penn,Princeton,1526,24,0,1,2,2.2,0.699336646,1.982515647
1/9/2016,2,Penn,Princeton,1524,3,0,3,0,3,2.794255886,-0.220180391
1/9/2016,2,Penn,Princeton,1453,10,1,4,0,4,4.22869153,0.360798563
1/9/2016,2,Penn,Princeton,1349,1,1,-4,1,4.1,-3.718426536,1.496614933
1/9/2016,2,Penn,Princeton,1310,25,1,22,4,22.4,21.69947918,3.806306619
1/9/2016,2,Penn,Princeton,1225,10,1,2,5,5.4,1.70027049,5.194377471
1/9/2016,2,Penn,Princeton,1140,1,0,3,22,22.2,3.423190547,21.59730557
1/9/2016,2,Penn,Princeton,1137,24,1,0,0,0,0.040307884,-0.115628596
1/9/2016,2,Penn,Princeton,1012,1,1,-5,2,5.4,-5.009091663,1.944900192
1/9/2016,2,Penn,Princeton,923,25,0,-4,2,4.5,-3.690448843,1.574151933
1/9/2016,2,Penn,Princeton,847,25,1,-18,12,21.6,-17.91721085,12.38761984
1/9/2016,2,Penn,Princeton,758,25,0,-22,0,22,-21.80972773,-0.066718426
1/9/2016,2,Penn,Princeton,707,1,0,-9,17,19.2,-9.315726262,16.51856211
1/9/2016,2,Penn,Princeton,631,25,2,-2,3,3.6,-2.154168783,3.30658117
1/9/2016,2,Penn,Princeton,614,1,0,3,0,3,2.949900187,0.116697898
1/9/2016,2,Penn,Princeton,535,5,1,-22,3,22.2,-22.12165426,2.524569716
1/9/2016,2,Penn,Princeton,500,1,0,-2,0,2,-1.756666751,0.094065357
1/9/2016,2,Penn,Princeton,451,10,1,3,2,3.6,3.045076801,1.50956409
1/9/2016,2,Penn,Princeton,440,3,1,-3,2,3.6,-2.574799677,1.559645882
1/9/2016,2,Penn,Princeton,413,1,0,-1,8,8.1,-1.078847973,7.658221939
1/9/2016,2,Penn,Princeton,355,3,1,22,2,22.1,22.04425411,1.808450077
1/9/2016,2,Penn,Princeton,345,5,2,8,4,8.9,8.445180287,3.604327617
1/9/2016,2,Penn,Princeton,301,3,0,15,18,23.4,14.5104236,18.07611155
1/9/2016,2,Penn,Princeton,227,24,0,-21,1,21,-21.10018195,0.544237694
1/9/2016,2,Penn,Princeton,150,25,0,-18,12,21.6,-17.78868,11.58466818
1/9/2016,2,Penn,Princeton,44,1,1,2,1,2.2,2.257464707,0.825410729
1/9/2016,2,Penn,Princeton,0,10,0,-4,0,4,-3.530239548,-0.329024825
1/9/2016,3,Penn,Princeton,316,3,1,3,1,3.2,3.264586301,0.90556065
1/9/2016,3,Penn,Princeton,300,5,1,14,20,24.4,13.87410562,19.57574143
